"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"KHM","Cambodia",1.168,1.168,1.1595,1.151,1.1155,1.08,1.08075,1.0815,1.08225,1.083,1.08375,1.0845,1.08525,1.086,1.088,1.082,1.096,1.085,1.124,1.124,1.124,1.124,1.124
"CMR","Cameroon",1.651,1.651,1.651,1.651,1.651,1.651,1.651,1.651,1.651,1.651,0.428,0.464,0.5,0.4735,0.447,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603
"CAN","Canada",12.059,12.059,12.059,12.059,12.0096666666667,11.9603333333333,11.911,11.379,11.597,11.815,11.88,11.945,12.104,12.263,11.8195,11.376,11.5686666666667,11.7613333333333,11.954,11.954,11.954,11.954,11.954
"CPV","Cape Verde",,,,,,,,,,,,,,,,,,,,,,,
"CAF","Central African Republic",0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.424,0.361,0.298,0.235,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299
"TCD","Chad",0.074,0.074,0.074,0.076,0.089,0.153,0.188,0.223,0.258,0.293,0.2545,0.216,0.233666666666667,0.251333333333333,0.269,0.286666666666667,0.304333333333333,0.322,0.353,0.353,0.353,0.353,0.353
"CHL","Chile",1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.015,1.085,1.122,1.117,1.188,1.182,1.19,1.178,1.178,1.178,1.178,1.178,1.178,1.178,1.178,1.178
"CHN","China",2.091,2.119,2.155,2.165,2.21,2.247,2.138,2.098,2.19885714285714,2.29971428571429,2.40057142857143,2.50142857142857,2.60228571428571,2.70314285714286,2.804,2.981,3.155,3.419,3.419,3.419,3.419,3.419,3.419
"COL","Colombia",1.677,1.677,1.719,1.778,1.826,1.88033333333333,1.93466666666667,1.989,2.00866666666667,2.02833333333333,2.048,2.083,2.117,2.153,2.188,2.224,2.224,2.224,2.224,2.224,2.224,2.224,2.224
"COM","Comoros",1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164,1.164
"COG","Congo",9.928,9.928,9.928,9.928,8.48966666666667,7.05133333333333,5.613,4.17466666666667,2.73633333333333,1.298,1.486,1.674,1.048,1.005,0.962,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919
"COD","Congo, the Democratic Republic o",0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.7192,0.8024,0.8856,0.9688,1.052,1.052,1.052,1.052,1.052,1.052,1.052,1.052,1.052
"CRI","Costa Rica",2.257,2.257,2.257,2.257,2.257,2.257,2.23307692307692,2.20915384615385,2.18523076923077,2.16130769230769,2.13738461538462,2.11346153846154,2.08953846153846,2.06561538461538,2.04169230769231,2.01776923076923,1.99384615384615,1.96992307692308,1.946,1.946,1.946,1.946,1.946
"CIV","Cote d'Ivoire",0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.59,0.600666666666667,0.611333333333333,0.622,0.6245,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627
