ISO3,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,,,,,,,,,,,,,,,,,,,,,,
AFG,0.742656657900373,0.763786465035526,0.790406592383601,0.813161976545977,0.837347212640185,0.724255728586104,0.623409426616982,0.712365109684316,0.70858880148454,0.661228978378176,0.666165723555569,0.784623824516044,0.914373058894481,1.1323024126879,1.32841163630836,1.53329527563115,1.94638231377974,2.15170215846694,2.36414538778291,2.59508359315634,2.71811120736181,2.72983213920488
AGO,11.2504612696291,11.2070793131926,10.4884689377114,11.0712511347137,10.2061723708691,9.8710174448764,8.47291943887061,9.38958185651954,9.9903545400461,10.2973934789394,9.86950334786109,8.23130595033693,9.38419485947219,8.01866403166646,8.0251285839419,7.99700431310751,9.11948687114691,7.38810378282464,7.77412785624725,6.8102407045949,7.38872417501396,6.24495449143701
ALB,2.34645760189523,2.29795586093958,2.06779509198829,2.17674115319335,2.56049161438996,2.71930287433551,2.95081356511544,3.18583026604305,3.31949825241083,3.35322251290825,3.29405373491567,2.9239306851321,3.05048758980167,2.89416058146502,2.95130450050025,3.03808314461173,3.19771994650961,3.08578020763336,3.11216362036163,3.29167797351705,3.22837862841119,3.19529807889222
AND,6.89115113547377,7.30267246737104,7.61733020349154,8.10701256586948,8.54435295945316,8.71692919406637,8.31588482499517,8.27991834287427,7.92544614795988,8.00062955773569,7.98813191829282,7.40804760905263,7.25654298292294,7.15461114688417,6.86691213904313,6.98646520385085,6.92562121628238,7.03652929258617,7.056726174264,6.94330476058223,1.15368345489739,1.29371126951887
ARB,,,,,,,,,,,,,,,,,,,,,,
ARE,37.1373323561441,37.3711269153244,38.4747555741229,38.1272096612629,37.5855435237762,35.8097574330055,38.4925269149449,37.7977662839555,37.4979929589227,36.3493807406534,34.119948346038,30.6820115716956,28.2079056055614,28.1571854211736,25.490781537106,24.3684552539723,23.9717610039906,24.759352743219,25.8156472502993,26.0272894751836,27.2754752831187,27.6915451160028
ARG,10.0875239784347,9.96981987423728,9.9925880803128,9.97103466974702,10.0652043158324,9.93577923899482,10.2820468438755,10.2481973434938,10.7249374000141,11.3454826372627,11.0176833934167,11.777588110607,11.7320970424194,12.035381096283,11.5977684145667,11.0742125963934,11.1513180934571,11.45441007967,11.0542074858064,10.9638031849448,10.9095421247434,11.0593239313786
ARM,2.11354196064585,1.79280422672535,2.04590421785018,2.03944623566155,1.86143057576152,1.99700872200889,2.06510861324023,1.95123366089009,2.11071687499917,2.25945773014477,2.49222730320545,2.68734786484297,2.92230355266182,3.14346657642097,2.7873073295449,2.72128325013667,2.87150734667854,3.18282632897735,3.15090088846432,3.1280011729146,2.98405122040175,3.2219106270601
ASM,,,,,,,,,,,,,,,,,,,,,,
ATG,6.55307994757536,6.84023769826001,7.25203614861096,7.37463126843658,7.63317888421673,8.02462639444328,8.41838056260685,8.8128232965068,9.33165195460277,9.70922127066321,9.94292027250967,11.6076610562972,12.1390998024421,12.529714158577,13.1418163373527,13.291225519153,12.1004335988706,12.1669302834895,12.1290266182963,12.2080335342797,14.428317978753,14.5990034593291
AUS,29.001217352811,28.2414941838239,28.5235189285521,29.6168029501363,31.1407587445842,31.7527280321621,36.1093081955391,35.0346540195609,31.182584919127,33.0097280324334,30.520524839665,30.7949115610762,30.1892680865774,28.1149407977712,28.4864717841386,26.2866090982332,27.6539541765935,27.1784349636098,22.8838225521831,22.9151983034702,22.5197393600393,21.4580627340678
AUT,8.19296959668497,8.65936082307652,8.52279751070558,8.50968980124709,8.25542107652293,8.26555008097044,9.36548817607118,9.5273954068303,10.2112647007797,10.0991609607774,10.0172232553691,10.0161562220442,9.68840045195659,9.63288331809569,8.73393011393662,9.37178211168562,9.03875438933711,8.68328329176152,8.70183257362801,8.20934676720698,8.27172159993076,8.22395906540113
AZE,7.8672739102147,7.19051912920263,7.13296973176411,7.17300644509036,7.14791268673076,7.34661928782646,7.355261860144,7.41561071714829,7.07788343595536,7.17269608138205,7.5740152648105,7.08346347183999,6.84744735646114,7.56783896661113,7.51404650572249,7.89787694995059,8.06817163522576,8.10044639591454,7.96236428910412,7.88981402251623,7.65544507132663,7.58161768232469
BDI,2.10955558528643,1.98181188430377,1.98950365314033,2.00790162640032,1.93071016306682,1.91883485337766,1.40984392874465,1.51697920366199,1.50235470218206,1.3447017419286,1.20300964227164,0.412731640704225,0.342142811172527,0.423327199190953,0.453697383606973,0.451841843367181,0.827156081115323,0.783042331441486,0.824922599304906,0.772020592227154,0.723423060758679,0.737986410752557
BEL,13.1658763293505,13.6757865817199,13.3156603146275,13.5430649471215,13.1287403733409,13.1535178636752,13.1326574358605,12.3713016384257,12.654039804617,12.4698485395596,12.0149443385515,11.7254922706366,11.2416123173062,11.3249585223044,10.5923284533228,11.1568115748891,9.92456784871244,9.80108638461098,9.82758313232952,9.24431020379324,9.62818102505935,9.47365652783914
BEN,3.4611462625547,3.59682776856054,3.54206919563509,3.60418004517589,3.46183384458032,3.3950140337442,2.60854832307507,2.70033393672775,2.5995421880433,2.50967612403813,2.62082314141734,2.60438946721615,2.66002964235789,2.53423021779777,2.55458311215973,2.55237949056549,2.50295164377755,2.42773131078579,2.40589617483499,2.38848812881543,2.40356612813674,2.44019835418601
BFA,2.44998006913463,2.52392206691671,2.50526320921592,2.50804013301821,2.43026913502361,2.47847551271362,2.10890506302143,2.15730775801059,2.29955523756895,2.30381344053356,2.29028165099952,2.35010386735985,2.35054382813497,2.31590448425685,2.31291019977547,2.31909623557301,2.13345292111118,2.10726459555304,2.10510593620545,2.05333589749174,2.05846027171676,2.07171601905743
BGD,1.1034998458365,1.08015362048828,1.07622663954873,1.05532302955389,1.06861868318492,1.06691437880508,1.07895611103876,1.08478318444305,1.07959247283379,1.08273496750394,1.09209514504946,1.04767795458293,1.05088745875729,1.11452083015732,1.12496301776593,1.18014224996668,1.25333466136296,1.2583455370622,1.27293825439069,1.29174077322865,1.33773826786964,1.32670054802519
BGR,7.09844449253141,7.20450240146094,6.8743422214544,6.46135191102204,5.68531697469035,5.67674707460259,5.82334537207606,5.56451500741149,6.22739082227667,6.10870224417704,6.16531826986703,6.72804262374191,7.35818594210094,7.07501747399854,6.12671760667655,6.39163913565352,7.22613361842313,6.4797051364598,5.82372061557181,6.19883503983561,6.5840149423425,6.18281432953853
