ISO3,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,,,,,,,,,,,,,,,,,,,,,,
AFG,0.7426566579003733,0.7637864650355264,0.7904065923836008,0.8131619765459767,0.837347212640185,0.7242557285861041,0.6234094266169815,0.7123651096843161,0.70858880148454,0.6612289783781765,0.6661657235555694,0.7846238245160443,0.914373058894481,1.1323024126879049,1.3284116363083638,1.5332952756311549,1.9463823137797394,2.1517021584669433,2.364145387782906,2.595083593156339,2.71811120736181,2.7298321392048774
AGO,11.250461269629147,11.207079313192626,10.488468937711351,11.071251134713721,10.206172370869137,9.871017444876399,8.472919438870612,9.389581856519541,9.990354540046097,10.297393478939416,9.869503347861091,8.231305950336926,9.384194859472185,8.018664031666463,8.0251285839419,7.997004313107508,9.119486871146911,7.388103782824638,7.7741278562472464,6.810240704594897,7.388724175013962,6.2449544914370065
ALB,2.346457601895235,2.29795586093958,2.0677950919882946,2.176741153193353,2.5604916143899628,2.719302874335511,2.9508135651154364,3.185830266043048,3.3194982524108307,3.3532225129082547,3.2940537349156744,2.9239306851320963,3.0504875898016746,2.894160581465022,2.9513045005002527,3.038083144611728,3.197719946509615,3.0857802076333583,3.1121636203616325,3.2916779735170487,3.22837862841119,3.1952980788922223
AND,6.891151135473766,7.302672467371038,7.617330203491536,8.107012565869477,8.544352959453162,8.71692919406637,8.315884824995173,8.279918342874273,7.925446147959881,8.00062955773569,7.988131918292822,7.408047609052634,7.2565429829229355,7.154611146884167,6.866912139043131,6.986465203850845,6.925621216282375,7.0365292925861675,7.0567261742639955,6.943304760582228,1.1536834548973862,1.2937112695188688
ARB,,,,,,,,,,,,,,,,,,,,,,
ARE,37.13733235614408,37.37112691532441,38.47475557412287,38.12720966126288,37.585543523776195,35.80975743300547,38.49252691494493,37.797766283955546,37.49799295892274,36.34938074065335,34.11994834603796,30.682011571695572,28.207905605561372,28.157185421173633,25.490781537106,24.368455253972286,23.9717610039906,24.75935274321902,25.815647250299254,26.027289475183615,27.275475283118677,27.691545116002814
ARG,10.087523978434698,9.969819874237276,9.992588080312801,9.971034669747015,10.065204315832373,9.935779238994817,10.282046843875461,10.248197343493796,10.724937400014094,11.345482637262648,11.01768339341666,11.777588110607011,11.732097042419426,12.035381096283048,11.597768414566705,11.074212596393396,11.15131809345712,11.454410079670007,11.054207485806378,10.96380318494475,10.909542124743398,11.059323931378602
ARM,2.1135419606458488,1.7928042267253452,2.045904217850179,2.039446235661551,1.8614305757615193,1.997008722008893,2.065108613240231,1.9512336608900922,2.110716874999172,2.2594577301447654,2.492227303205447,2.687347864842966,2.9223035526618197,3.143466576420974,2.787307329544904,2.7212832501366724,2.871507346678542,3.1828263289773453,3.150900888464321,3.1280011729146002,2.9840512204017497,3.2219106270600983
ASM,,,,,,,,,,,,,,,,,,,,,,
ATG,6.553079947575361,6.840237698260014,7.252036148610956,7.374631268436578,7.633178884216728,8.024626394443276,8.418380562606849,8.812823296506801,9.331651954602775,9.709221270663214,9.942920272509667,11.607661056297156,12.139099802442102,12.529714158576999,13.141816337352731,13.291225519152997,12.100433598870627,12.166930283489476,12.129026618296255,12.208033534279727,14.428317978752967,14.599003459329081
AUS,29.00121735281098,28.24149418382393,28.52351892855214,29.616802950136282,31.14075874458417,31.752728032162064,36.10930819553907,35.034654019560946,31.182584919127034,33.0097280324334,30.52052483966501,30.794911561076244,30.189268086577425,28.11494079777121,28.486471784138633,26.28660909823323,27.653954176593544,27.178434963609813,22.8838225521831,22.915198303470238,22.51973936003934,21.458062734067806
AUT,8.192969596684968,8.659360823076518,8.52279751070558,8.509689801247093,8.255421076522925,8.265550080970437,9.365488176071178,9.527395406830301,10.211264700779655,10.09916096077737,10.017223255369066,10.016156222044227,9.688400451956587,9.632883318095688,8.733930113936617,9.371782111685624,9.038754389337106,8.683283291761521,8.70183257362801,8.209346767206982,8.271721599930762,8.223959065401134
AZE,7.867273910214704,7.190519129202628,7.132969731764105,7.1730064450903575,7.147912686730764,7.346619287826455,7.355261860143998,7.415610717148294,7.077883435955356,7.172696081382051,7.574015264810501,7.083463471839991,6.847447356461142,7.567838966611132,7.514046505722489,7.897876949950587,8.068171635225761,8.100446395914535,7.962364289104124,7.8898140225162265,7.655445071326633,7.581617682324685
BDI,2.109555585286426,1.9818118843037693,1.9895036531403285,2.0079016264003173,1.930710163066823,1.918834853377659,1.409843928744649,1.5169792036619907,1.5023547021820616,1.3447017419285996,1.2030096422716408,0.41273164070422536,0.3421428111725272,0.4233271991909528,0.4536973836069728,0.45184184336718075,0.8271560811153235,0.7830423314414857,0.8249225993049057,0.7720205922271545,0.7234230607586789,0.7379864107525573
BEL,13.165876329350525,13.675786581719914,13.315660314627534,13.543064947121476,13.128740373340854,13.153517863675162,13.132657435860544,12.371301638425653,12.654039804617002,12.46984853955955,12.014944338551548,11.725492270636648,11.241612317306155,11.324958522304398,10.592328453322759,11.156811574889135,9.924567848712442,9.80108638461098,9.827583132329522,9.244310203793237,9.628181025059348,9.473656527839136
BEN,3.4611462625546983,3.596827768560542,3.5420691956350883,3.604180045175893,3.4618338445803167,3.3950140337441965,2.608548323075069,2.7003339367277492,2.5995421880433027,2.5096761240381293,2.6208231414173366,2.6043894672161523,2.660029642357891,2.53423021779777,2.554583112159726,2.55237949056549,2.5029516437775543,2.4277313107857874,2.405896174834986,2.3884881288154323,2.403566128136739,2.4401983541860073
