"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG","Afghanistan",0.138241425463611,0.138241425463611,0.138241425463611,0.138241425463611,0.138241425463611,0.138241425463611,0.138241425463611,0.138241425463611,0.138241425463611,0.138241425463611,0.138241425463611,0.141298639812297,0.141270696483697,0.179409151761223,0.173939537287176,0.213811852409123,0.180727011592517,0.17431413069321,0.155197340521732,0.185041617284829,0.173925865403564,0.166360334788637,0.166360334788637
"ALB","Albania",0.296813344590746,0.296813344590746,0.296813344590746,0.296813344590746,0.296813344590746,0.296813344590746,0.296813344590746,0.296813344590746,0.296813344590746,0.296813344590746,0.297077362210818,0.295167868968576,0.274898732563815,0.273740883476164,0.448723562840616,0.462674828164005,0.462418356529768,0.433338023634258,0.42644375243328,0.411273371453887,0.454881321141925,0.411916572132937,0.411916572132937
"DZA","Algeria",0.222825403937198,0.222825403937198,0.222825403937198,0.222825403937198,0.222825403937198,0.222825403937198,0.222825403937198,0.222825403937198,0.222825403937198,0.222825403937198,0.223774065674413,0.228853714941918,0.216722902606062,0.219751614465853,0.208512546845652,0.206203193926752,0.19195476980246,0.179612987262625,0.181345560828031,0.172629487392597,0.170422886522869,0.168987422233677,0.168987422233677
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.128340064643309,0.128340064643309,0.128340064643309,0.128340064643309,0.128340064643309,0.128340064643309,0.128340064643309,0.128340064643309,0.128340064643309,0.128340064643309,0.130206897893897,0.133588916926254,0.12311221333466,0.116412013099508,0.123302379423502,0.118033945445634,0.116153153461227,0.119042547009055,0.128966372682817,0.124746248519459,0.115892262529668,0.124934337769126,0.124934337769126
"ATG","Antigua and Barbuda",0.564351914073653,0.564351914073653,0.564351914073653,0.564351914073653,0.564351914073653,0.564351914073653,0.564351914073653,0.564351914073653,0.564351914073653,0.564351914073653,0.564351914073653,0.564351914073653,0.549783216703505,0.544168172542016,0.525832709568989,0.520266958474393,0.500547139486373,0.483085267490727,0.454577913522336,0.406005111877408,0.394641117398298,0.384088606257652,0.384088606257652
"ARG","Argentina",0.396696341005551,0.396696341005551,0.396696341005551,0.396696341005551,0.396696341005551,0.396696341005551,0.396696341005551,0.396696341005551,0.396696341005551,0.396696341005551,0.412091825166034,0.418973088901949,0.429293037235537,0.422373120728378,0.414396259440372,0.396191681200059,0.365557569332832,0.349063655854745,0.323202414240793,0.344247870035841,0.330649692176131,0.330936520946099,0.330936520946099
"ARM","Armenia",0.483580422289988,0.483580422289988,0.483580422289988,0.483580422289988,0.483580422289988,0.483580422289988,0.483580422289988,0.483580422289988,0.483580422289988,0.483580422289988,0.481084381692875,0.479759848444483,0.490781787716097,0.504567264692927,0.489593900914559,0.506901936645807,0.509637634077671,0.479533906172928,0.553626710062337,0.567748955628609,0.584022637042867,0.583130900335007,0.583130900335007
"AUS","Australia",0.713618955911069,0.713618955911069,0.713618955911069,0.713618955911069,0.713618955911069,0.713618955911069,0.713618955911069,0.713618955911069,0.713618955911069,0.713618955911069,0.714423482044674,0.712326271946881,0.712936254363904,0.706849196780512,0.690910201998326,0.69538009096194,0.693071846253805,0.684920969052298,0.685995179735261,0.693332127627113,0.683650666311172,0.676988462927291,0.676988462927291
"AUT","Austria",0.67430433225704,0.67430433225704,0.67430433225704,0.67430433225704,0.67430433225704,0.67430433225704,0.67430433225704,0.67430433225704,0.67430433225704,0.67430433225704,0.672235154793692,0.669547532345249,0.662559655561186,0.649513060503553,0.617942913847061,0.596752499173592,0.597920869951784,0.586863937110851,0.60837799414251,0.646055703993149,0.651958361319676,0.643882847684591,0.643882847684591
"AZE","Azerbaijan",0.340175618913482,0.340175618913482,0.340175618913482,0.340175618913482,0.340175618913482,0.340175618913482,0.340175618913482,0.340175618913482,0.340175618913482,0.340175618913482,0.341323853024924,0.341311390495095,0.347066353097711,0.350262881037089,0.478390365025628,0.508925212871457,0.509381162443434,0.506000003612715,0.505798636210942,0.503674782873827,0.524527161092774,0.541996720411897,0.541996720411897
"BHS","Bahamas",0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.519038728394852,0.508695654927232,0.493194952638239,0.482964584116997,0.465131163050744,0.449640644076316,0.430360468977051,0.424126821520064,0.41794261718097,0.41794261718097
"BHR","Bahrain",0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.523211845060438,0.512275017383077,0.489547356062419,0.488037023105244,0.474122307974377,0.473940836154217,0.475182049143439,0.485056588035481,0.478082614249461,0.478082614249461
"BGD","Bangladesh",0.253031539139228,0.253031539139228,0.253031539139228,0.253031539139228,0.253031539139228,0.253031539139228,0.253031539139228,0.253031539139228,0.253031539139228,0.253031539139228,0.252969172772281,0.253598919982706,0.252531621139066,0.221772980288268,0.223171800532195,0.206317181319746,0.218285857584151,0.180853145183126,0.177649504371234,0.152025351771496,0.141957735303352,0.147584420805681,0.147584420805681
