"ISO3","Name","Value","sign"
"MAR","Morocco","0.00692412213839877","1"
"MOZ","Mozambique","-0.00591726069235913","-1"
"MMR","Myanmar","0.0160304216638559","1"
"NAM","Namibia","0.000533253743415315","0"
"NRU","Nauru","-0.0187631741109321","0"
"NPL","Nepal","-0.00259338538423072","0"
"NLD","Netherlands","0.00200037711706992","0"
"NZL","New Zealand","0.00173261622578816","0"
"NIC","Nicaragua","-0.00028904975710371","0"
"NER","Niger","0.00214421649457407","1"
"NGA","Nigeria","0.00537862676472717","1"
"NOR","Norway","0.00467538190141705","1"
"OMN","Oman","0.00465682363169399","1"
"PAK","Pakistan","0.0016161573158739","0"
"PLW","Palau","0.00221511974067992","0"
"PAN","Panama","0.00600729815838646","1"
"PNG","Papua New Guinea","-0.00114289589144112","0"
"PRY","Paraguay","0.00304873758118889","1"
"PER","Peru","0.00360216997322884","1"
"PHL","Philippines","0.000786758885619516","0"
"POL","Poland","0.0044596096211598","0"
"PRT","Portugal","0.00236174110289967","0"
"QAT","Qatar","-0.0038125509931142","0"
"ROU","Romania","0.00397202631208538","1"
"RUS","Russian Federation","0.0174049290723034","1"
"RWA","Rwanda","0.00581526226232515","1"
"KNA","Saint Kitts and Nevis","-0.0137391972206103","0"
"LCA","Saint Lucia","-0.00365749279570745","0"
"VCT","Saint Vincent and the Grenadines","-0.0111410939229763","-1"
"WSM","Samoa","0.000471198211947585","0"
"SMR","San Marino","-0.0137141378034831","0"
"STP","Sao Tome and Principe","0.00209477670636028","0"
"SAU","Saudi Arabia","0.00378572344768348","0"
"SEN","Senegal","0.00662001985045837","1"
"SRB","Serbia","0.00358460233867967","0"
"SYC","Seychelles","0.00466365663628245","0"
"SLE","Sierra Leone","0.00124757699391741","0"
"SGP","Singapore","0.00441588864256887","1"
"SVK","Slovakia","-0.000639483692780503","0"
"SVN","Slovenia","0.000844107796275166","0"
"SLB","Solomon Islands","0.00557180176018841","1"
"SOM","Somalia","0.00399090587589801","0"
"ZAF","South Africa","-0.000515802208710299","0"
"ESP","Spain","0.00245904813357227","0"
"LKA","Sri Lanka","0.00652384089296049","1"
"SDN","Sudan","-0.000640708072148667","0"
"SUR","Suriname","0.000424338128577462","0"
"SWZ","Swaziland","-0.00128681725543923","0"
"SWE","Sweden","-0.00386030761559556","0"
"CHE","Switzerland","0.000977113746726463","0"
"SYR","Syrian Arab Republic","-0.00352367458121113","0"
"TJK","Tajikistan","0.00962421349207647","1"
"TZA","Tanzania, United Republic of","-0.00532717241477859","0"
"THA","Thailand","0.00123226186051617","0"
"TLS","Timor-Leste","0.00387734063593278","1"
"TGO","Togo","0.00922566305264123","1"
"TON","Tonga","0.00118417633483505","0"
"TTO","Trinidad and Tobago","-0.00173627277093869","0"
"TUN","Tunisia","-0.0043870752410461","-1"
"TUR","Turkey","0.00178057788179312","0"
"TKM","Turkmenistan","-0.00274873688113812","-1"
"TUV","Tuvalu","0.0128141208219385","1"
"UGA","Uganda","0.00459840302679623","1"
"UKR","Ukraine","0.0115617718393407","1"
"ARE","United Arab Emirates","0.00987130664445126","1"
"GBR","United Kingdom","0.0016860995830762","0"
"USA","United States","-0.00347422057191077","-1"
"URY","Uruguay","0.000582771950242473","0"
"UZB","Uzbekistan","0.0183458761230812","1"
"VUT","Vanuatu","-0.00233043561191226","0"
"VEN","Venezuela, Bolivarian Republic o","-0.0036947514522857","-1"
"VNM","Viet Nam","0.0101398531115432","1"
"YEM","Yemen","-0.0127541190918321","-1"
"ZMB","Zambia","0.000323904410421461","0"
"ZWE","Zimbabwe","0.0030570699088754","1"
